Sample,Species,Crustacean,Condition,Water,Type,Region,Study
BSF1,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2021
BSF2,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2021
BSF3,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2021
BSF4,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2021
BSF5,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2021
BSFLP1,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2021
BSFLP2,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2021
BSFLP3,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2021
BSFLP4,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2021
BSFLP5,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2021
C1,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2020c
C10,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2020c
C11,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2020c
C12,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2020c
C2,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2020c
C3,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2020c
C4,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2020c
C5,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2020c
C7,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2020c
C8,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2020c
C9,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2020c
CMC33,Chinese_mitten_crab,Crab,Health,Freshwater,Paired,V3V4,Dong2018
CMC34,Chinese_mitten_crab,Crab,Health,Freshwater,Paired,V3V4,Dong2018
CMC35,Chinese_mitten_crab,Crab,Health,Freshwater,Paired,V3V4,Dong2018
CMC36,Chinese_mitten_crab,Crab,Health,Freshwater,Paired,V3V4,Dong2018
CMC37,Chinese_mitten_crab,Crab,Health,Freshwater,Paired,V3V4,Dong2018
CMC38,Chinese_mitten_crab,Crab,Health,Freshwater,Paired,V3V4,Dong2018
CMC39,Chinese_mitten_crab,Crab,Health,Freshwater,Paired,V3V4,Dong2018
CMC40,Chinese_mitten_crab,Crab,Health,Freshwater,Paired,V3V4,Dong2018
CMC537,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC538,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC539,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC540,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC541,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC542,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC543,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC544,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC545,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC546,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC547,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC548,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC549,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC550,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC551,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC552,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC553,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC554,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC56,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC57,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC58,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC59,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
